Date,Symbol,Close,y,pred,pred_chg,act_chg,correct,profit
2019-03-29,INFY,743.85,747.75,715.4424000000015,-28.407599999998524,3.8999999999999773,-1,-3.8999999999999773
2018-04-11,NIFTY_50,10417.15,10570.55,10299.3202,-117.82979999999952,153.39999999999964,-1,-153.39999999999964
2018-04-12,NIFTY_50,10458.65,10617.8,10449.774800000001,-8.875199999998586,159.14999999999964,-1,-159.14999999999964
2018-04-13,NIFTY_50,10480.6,10692.3,10795.880799999994,315.2807999999932,211.6999999999989,1,211.6999999999989
2018-04-16,NIFTY_50,10528.35,10739.35,10644.949400000001,116.59940000000097,211.0,1,211.0
2018-04-17,NIFTY_50,10548.7,10718.05,10818.806399999996,270.1063999999951,169.34999999999854,1,169.34999999999854
2018-04-18,NIFTY_50,10526.2,10679.65,10574.8752,48.67519999999968,153.4499999999989,1,153.4499999999989
2018-04-19,NIFTY_50,10565.3,10618.25,10578.229199999994,12.929199999995035,52.95000000000073,1,52.95000000000073
2018-04-20,NIFTY_50,10564.05,10715.5,10644.252600000003,80.20260000000417,151.45000000000073,1,151.45000000000073
2018-04-23,NIFTY_50,10584.7,10717.8,10719.163399999994,134.46339999999327,133.09999999999854,1,133.09999999999854
2018-04-24,NIFTY_50,10614.35,10741.7,10851.823799999996,237.47379999999612,127.35000000000036,1,127.35000000000036
2018-04-25,NIFTY_50,10570.55,10716.55,10854.1076,283.5576000000001,146.0,1,146.0
2018-04-26,NIFTY_50,10617.8,10806.5,10862.350400000005,244.55040000000554,188.70000000000073,1,188.70000000000073
2018-04-27,NIFTY_50,10692.3,10806.6,10872.029400000001,179.729400000002,114.30000000000109,1,114.30000000000109
2018-04-30,NIFTY_50,10739.35,10801.85,10888.14459999999,148.79459999999017,62.5,1,62.5
2018-05-02,NIFTY_50,10718.05,10741.1,10874.205599999988,156.15559999998914,23.05000000000109,1,23.05000000000109
2018-05-03,NIFTY_50,10679.65,10682.7,10847.888799999995,168.23879999999554,3.0500000000010914,1,3.0500000000010914
2018-05-04,NIFTY_50,10618.25,10596.4,10826.920600000001,208.6706000000013,-21.850000000000364,-1,-21.850000000000364
2018-05-07,NIFTY_50,10715.5,10516.7,10797.623999999989,82.12399999998888,-198.79999999999927,-1,-198.79999999999927
2018-05-08,NIFTY_50,10717.8,10536.7,10765.174399999996,47.37439999999697,-181.09999999999854,-1,-181.09999999999854
2018-05-09,NIFTY_50,10741.7,10430.35,10736.86500000001,-4.834999999990032,-311.35000000000036,1,311.35000000000036
2018-05-10,NIFTY_50,10716.55,10513.85,10769.186799999994,52.636799999994764,-202.6999999999989,-1,-202.6999999999989
2018-05-11,NIFTY_50,10806.5,10605.15,10741.468999999994,-65.03100000000632,-201.35000000000036,1,201.35000000000036
2018-05-14,NIFTY_50,10806.6,10688.65,10685.705000000005,-120.89499999999498,-117.95000000000073,1,117.95000000000073
2018-05-15,NIFTY_50,10801.85,10633.3,10673.761800000011,-128.08819999998923,-168.5500000000011,1,168.5500000000011
2018-05-16,NIFTY_50,10741.1,10614.35,10654.563199999997,-86.5368000000035,-126.75,1,126.75
2018-05-17,NIFTY_50,10682.7,10736.15,10635.759200000008,-46.94079999999303,53.44999999999891,-1,-53.44999999999891
2018-05-18,NIFTY_50,10596.4,10696.2,10501.887799999995,-94.51220000000467,99.80000000000109,-1,-99.80000000000109
2018-05-21,NIFTY_50,10516.7,10628.5,10477.461600000017,-39.23839999998381,111.79999999999927,-1,-111.79999999999927
2018-05-22,NIFTY_50,10536.7,10593.15,10511.698799999998,-25.001200000002427,56.44999999999891,-1,-56.44999999999891
2018-05-23,NIFTY_50,10430.35,10684.65,10457.266800000009,26.916800000008152,254.29999999999927,1,254.29999999999927
2018-05-24,NIFTY_50,10513.85,10768.35,10464.0688,-49.78120000000126,254.5,-1,-254.5
2018-05-25,NIFTY_50,10605.15,10767.65,10499.848000000004,-105.30199999999604,162.5,-1,-162.5
2018-05-28,NIFTY_50,10688.65,10786.95,10498.324800000006,-190.32519999999386,98.30000000000109,-1,-98.30000000000109
2018-05-29,NIFTY_50,10633.3,10842.85,10490.554399999999,-142.7456000000002,209.5500000000011,-1,-209.5500000000011
